"","cartaAltaRoboClustering","cartaMediaRoboClustering","cartaBaixaRoboClustering","kmeans.cluster","idMao"
"813",51,20,7,6,883
"814",7,7,3,5,884
"815",20,7,7,4,885
"816",20,7,3,4,886
"817",51,12,3,3,887
"818",7,7,7,5,890
"819",20,7,3,4,891
"820",51,7,7,3,892
"821",20,12,3,4,893
"822",20,20,7,7,894
"823",7,7,3,5,895
"824",51,7,3,3,896
"825",20,7,3,4,897
"826",12,7,3,5,898
"827",51,7,3,3,899
"828",12,3,3,2,900
"829",20,7,3,4,901
"830",20,7,7,4,902
"831",20,20,12,1,903
"832",12,3,3,2,904
"833",20,7,3,4,905
"834",7,7,3,5,906
"835",20,20,7,7,907
"836",7,7,3,5,908
"837",41,20,7,6,909
"838",20,7,3,4,910
"839",7,3,3,2,911
"840",20,7,3,4,913
"841",20,20,3,7,914
"842",7,3,3,2,915
"843",20,7,3,4,916
"844",41,3,3,3,917
"845",20,3,3,4,918
"846",12,7,7,5,919
"847",51,7,3,3,920
"848",20,7,3,4,921
"849",7,7,3,5,922
"850",51,41,12,1,923
"851",51,7,3,3,924
"852",20,12,7,7,925
"853",41,20,12,1,926
"854",20,3,3,4,927
"855",20,3,3,4,928
"856",7,3,3,2,929
"857",20,7,3,4,930
"858",20,7,3,4,931
"859",12,7,3,5,933
"860",51,7,3,3,934
"861",20,20,7,7,935
"862",20,3,3,4,936
"863",20,7,3,4,937
"864",20,7,3,4,940
"865",20,12,3,4,941
"866",7,3,3,2,943
"867",20,7,3,4,944
"868",20,3,3,4,945
"869",20,3,3,4,946
"870",20,20,3,7,947
"871",51,20,7,6,948
"872",20,3,3,4,949
"873",20,7,3,4,950
"874",51,7,3,3,951
"875",7,7,3,5,952
"876",20,7,3,4,953
"877",20,7,3,4,954
"878",20,7,7,4,955
"879",20,7,3,4,957
"880",51,7,3,3,958
"881",12,7,3,5,959
"882",7,7,3,5,960
"883",7,3,3,2,961
"884",20,7,7,4,962
"885",12,7,3,5,963
"886",20,20,3,7,964
"887",20,3,3,4,965
"888",20,7,7,4,966
"889",20,7,3,4,967
"890",41,7,7,3,968
"891",20,7,3,4,969
"892",7,3,3,2,970
"893",20,3,3,4,971
"894",20,20,7,7,972
"895",20,7,3,4,973
"896",7,7,3,5,974
"897",12,7,3,5,975
"898",41,20,7,6,976
"899",20,3,3,4,977
"900",20,20,7,7,978
"901",51,7,3,3,979
"902",20,12,7,7,980
"903",20,7,3,4,981
"904",12,7,3,5,982
"905",7,7,3,5,983
"906",41,7,3,3,984
"907",20,3,3,4,985
"908",20,7,3,4,986
"909",20,7,3,4,988
"910",7,3,3,2,989
"911",20,7,7,4,991
"912",41,20,7,6,992
"913",20,7,3,4,993
"914",51,20,7,6,994
"915",20,12,3,4,995
"916",41,7,7,3,997
"917",12,3,3,2,998
"918",20,7,3,4,999
"919",51,41,7,6,1000
"920",51,12,7,3,1001
"921",7,3,3,2,1002
"922",20,20,3,7,1003
"923",7,3,3,2,1004
"924",7,7,3,5,1005
"925",51,20,7,6,1006
"926",20,20,7,7,1007
"927",20,7,7,4,1009
"928",41,7,3,3,1010
"929",41,7,3,3,1011
"930",41,7,7,3,1012
"931",20,7,3,4,1013
"932",7,7,3,5,1014
"933",41,7,7,3,1015
"934",20,7,3,4,1017
"935",20,12,7,7,1018
"936",12,3,3,2,1019
"937",20,20,7,7,1021
"938",20,3,3,4,1022
"939",51,20,20,1,1023
"940",41,20,3,6,1025
"941",20,7,7,4,1026
"942",7,7,3,5,1027
"943",41,7,3,3,1028
"944",20,7,3,4,1029
"945",12,7,3,5,1030
"946",3,3,3,2,1031
"947",20,12,7,7,1032
"948",7,3,3,2,1033
"949",20,20,7,7,1034
"950",3,3,3,2,1035
"951",20,20,3,7,1036
"952",7,7,3,5,1037
"953",20,20,7,7,1038
"954",7,3,3,2,1039
"955",7,7,3,5,1040
"956",20,7,7,4,1041
"957",41,7,7,3,1042
"958",20,7,3,4,1043
"959",41,7,3,3,1044
"960",51,20,7,6,1045
"961",7,3,3,2,1046
"962",41,7,3,3,1047
"963",7,7,7,5,1048
"964",3,3,3,2,1049
"965",7,3,3,2,1051
"966",51,20,3,6,1052
"967",20,12,3,4,1053
"968",20,3,3,4,1055
"969",7,7,3,5,1056
"970",20,7,3,4,1057
"971",12,3,3,2,1058
"972",20,20,3,7,1059
"973",51,7,3,3,1060
"974",20,7,3,4,1061
"975",51,3,3,3,1062
"976",12,7,7,5,1063
"977",7,7,3,5,1065
"978",20,3,3,4,1066
"979",41,7,3,3,1067
"980",12,7,3,5,1068
"981",20,3,3,4,1069
"982",7,3,3,2,1070
"983",41,20,7,6,1071
"984",3,3,3,2,1072
"985",20,7,3,4,1073
"986",7,7,3,5,1074
"987",7,7,3,5,1075
"988",20,3,3,4,1076
"989",20,7,3,4,1077
"990",20,3,3,4,1078
"991",41,3,3,3,1079
"992",7,7,3,5,1081
"993",20,12,3,4,1082
"994",20,7,7,4,1083
"995",51,51,3,6,1084
"996",20,7,3,4,1085
"997",20,12,7,7,1086
"998",3,3,3,2,1088
"999",20,7,3,4,1090
"1000",51,7,3,3,1096
"1001",20,3,3,4,1097
"1002",20,7,3,4,1098
"1003",7,7,3,5,1099
"1004",7,3,3,2,1100
"1005",7,3,3,2,1101
"1006",20,20,7,7,1102
"1007",20,20,7,7,1103
